ticker,feature_group,removed_component,feature_names,base_feature_set_from_grid_search,model_type,window_size,hidden_size,learning_rate,dropout,grid_best_val_loss,grid_best_test_RMSE,feature_set,best_epoch,stopped_epoch,best_val_loss,best_val_RMSE,best_val_MAE,best_val_MAPE,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
AAPL,proposed_all,none,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",baseline,lstm,60,128,0.001,0.2,9.69550827571324,30.46127700805664,proposed_all,294,314,31.25961053371429,5.956000804901123,4.316906452178955,2.448744773864746,2194.721009148492,43.50285339355469,35.37306594848633,15.074799537658691,1912,212,548,"[60, 12]",cpu,_local/runs/ablation_runs_laptop/20260329_005313_AAPL_proposed_all_lstm_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_005313_AAPL_proposed_all_lstm_w60_d0p2
AAPL,no_rsi,RSI,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",baseline,lstm,60,128,0.001,0.2,9.69550827571324,30.46127700805664,no_rsi,309,329,25.26810598373413,5.322322368621826,3.94110369682312,2.2452187538146973,2144.713006549411,43.03792572021485,34.97700119018555,14.901830673217772,1912,212,548,"[60, 11]",cpu,_local/runs/ablation_runs_laptop/20260329_005514_AAPL_no_rsi_lstm_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_005514_AAPL_no_rsi_lstm_w60_d0p2
AAPL,no_macd,MACD family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",baseline,lstm,60,128,0.001,0.2,9.69550827571324,30.46127700805664,no_macd,262,282,33.53392195701599,6.190032958984375,4.391282081604004,2.511948823928833,2468.652929941813,46.361854553222656,38.12678909301758,16.289695739746094,1912,212,548,"[60, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_005701_AAPL_no_macd_lstm_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_005701_AAPL_no_macd_lstm_w60_d0p2
AAPL,no_bollinger,Bollinger family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF""]",baseline,lstm,60,128,0.001,0.2,9.69550827571324,30.46127700805664,no_bollinger,201,221,107.73556995391846,10.84010124206543,8.400744438171387,4.785800933837891,3538.334749009874,55.82609939575195,47.61923599243164,20.56162071228028,1912,212,548,"[60, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_005832_AAPL_no_bollinger_lstm_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_005832_AAPL_no_bollinger_lstm_w60_d0p2
MSFT,proposed_all,none,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,20,128,0.001,0.0,25.0576662336077,105.13391876220705,proposed_all,338,358,29.30727767944336,5.498969554901123,4.16956090927124,1.4051166772842407,12573.696302625867,109.75252532958984,99.28534698486328,21.911752700805664,1948,216,548,"[20, 12]",cpu,_local/runs/ablation_runs_laptop/20260329_005945_MSFT_proposed_all_gru_w20_d0p0/best_model.pt,_local/runs/ablation_runs_laptop/20260329_005945_MSFT_proposed_all_gru_w20_d0p0
MSFT,no_rsi,RSI,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,20,128,0.001,0.0,25.0576662336077,105.13391876220705,no_rsi,376,396,30.78722381591797,5.659710884094238,4.312041282653809,1.4673848152160645,47775.31622992622,212.34852600097656,175.99044799804688,38.10740661621094,1948,216,548,"[20, 11]",cpu,_local/runs/ablation_runs_laptop/20260329_010129_MSFT_no_rsi_gru_w20_d0p0/best_model.pt,_local/runs/ablation_runs_laptop/20260329_010129_MSFT_no_rsi_gru_w20_d0p0
MSFT,no_macd,MACD family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,20,128,0.001,0.0,25.0576662336077,105.13391876220705,no_macd,387,407,28.05916547775269,5.353074550628662,4.05743932723999,1.3760292530059814,11119.77364095052,103.09149932861328,92.34197235107422,20.325653076171875,1948,216,548,"[20, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_010329_MSFT_no_macd_gru_w20_d0p0/best_model.pt,_local/runs/ablation_runs_laptop/20260329_010329_MSFT_no_macd_gru_w20_d0p0
MSFT,no_bollinger,Bollinger family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF""]",proposed,gru,20,128,0.001,0.0,25.0576662336077,105.13391876220705,no_bollinger,344,364,33.29400157928467,5.920119285583496,4.459104537963867,1.5047954320907593,44990.802978515625,208.2487030029297,173.14076232910156,37.57907485961914,1948,216,548,"[20, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_010527_MSFT_no_bollinger_gru_w20_d0p0/best_model.pt,_local/runs/ablation_runs_laptop/20260329_010527_MSFT_no_bollinger_gru_w20_d0p0
TSLA,proposed_all,none,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,60,128,0.001,0.2,54.14741243634905,34.79337692260742,proposed_all,261,281,56.65270280838013,7.516237735748291,5.579104900360107,2.7821738719940186,1694.545664045546,37.03340530395508,21.65791130065918,5.944194793701172,1912,212,548,"[60, 12]",cpu,_local/runs/ablation_runs_laptop/20260329_010713_TSLA_proposed_all_gru_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_010713_TSLA_proposed_all_gru_w60_d0p2
TSLA,no_rsi,RSI,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,60,128,0.001,0.2,54.14741243634905,34.79337692260742,no_rsi,80,100,2061.099365234375,47.59336853027344,40.78082275390625,22.703428268432617,15113.36984592014,115.19419860839844,86.61811065673828,25.878047943115234,1912,212,548,"[60, 11]",cpu,_local/runs/ablation_runs_laptop/20260329_011054_TSLA_no_rsi_gru_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_011054_TSLA_no_rsi_gru_w60_d0p2
TSLA,no_macd,MACD family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""BB_MAVG"", ""BB_HIGH"", ""BB_LOW""]",proposed,gru,60,128,0.001,0.2,54.14741243634905,34.79337692260742,no_macd,321,341,57.21437120437622,7.598674297332764,5.691971302032471,2.861928701400757,1212.5066748725044,31.31953239440918,18.879810333251957,5.31903076171875,1912,212,548,"[60, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_011213_TSLA_no_macd_gru_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_011213_TSLA_no_macd_gru_w60_d0p2
TSLA,no_bollinger,Bollinger family,"[""Open"", ""High"", ""Low"", ""Close"", ""Volume"", ""RSI_14"", ""MACD"", ""MACD_SIGNAL"", ""MACD_DIFF""]",proposed,gru,60,128,0.001,0.2,54.14741243634905,34.79337692260742,no_bollinger,81,101,2074.3886108398438,47.749324798583984,40.89800262451172,22.773324966430664,15121.313886854383,115.23300170898438,86.65193176269531,25.883535385131836,1912,212,548,"[60, 9]",cpu,_local/runs/ablation_runs_laptop/20260329_011639_TSLA_no_bollinger_gru_w60_d0p2/best_model.pt,_local/runs/ablation_runs_laptop/20260329_011639_TSLA_no_bollinger_gru_w60_d0p2
